=== 2025-11-08 23:21:56 — workload=redis env=docker run=1/7 ===
$ memtier_benchmark -s 192.168.1.149 -p 6379 --ratio=1:10 -t 4 -c 50 -d 64 -n 500000
4         Threads
50        Connections per thread
500000    Requests per client


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets         2179.33          ---          ---       176.73331         8.51100        25.72700        95.74300       235.99 
Gets        21793.02        52.15     21740.87       178.54256         8.51100        25.72700        95.74300       852.28 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals      23972.34        52.15     21740.87       178.37808         8.51100        25.72700        95.74300      1088.27 


Request Latency Distribution
Type     <= msec         Percent
=== 2025-11-09 04:09:57 — workload=redis env=docker run=5/7 ===
$ memtier_benchmark -s 192.168.1.149 -p 6379 --ratio=1:10 -t 4 -c 50 -d 64 -n 500000
4         Threads
50        Connections per thread
500000    Requests per client


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets         2162.13          ---          ---       178.54138         8.51100        26.23900        92.15900       234.13 
Gets        21621.08       100.17     21520.90       179.09665         8.51100        26.23900        92.15900       848.68 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals      23783.21       100.17     21520.90       179.04617         8.51100        26.23900        92.15900      1082.81 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.511        0.000
SET       6.047        5.000
SET       7.423       10.000
SET       8.063       15.000
SET       8.255       20.000
SET       8.319       25.000
SET       8.383       30.000
SET       8.447       35.000
SET       8.447       40.000
SET       8.511       45.000
SET       8.511       50.000
SET       8.575       52.500
SET       8.575       55.000
SET       8.575       57.500
SET       8.639       60.000
SET       8.639       62.500
SET       8.639       65.000
SET       8.703       67.500
SET       8.703       70.000
SET       8.767       72.500
SET       8.767       75.000
SET       8.831       76.250
SET       8.831       77.500
SET       8.895       78.750
SET       9.023       80.000
SET       9.215       81.250
SET       9.535       82.500
SET       9.791       83.750
SET       9.983       85.000
SET      10.175       86.250
SET      10.303       87.500
SET      10.431       88.125
SET      10.495       88.750
SET      10.559       89.375
SET      10.623       90.000
SET      10.751       90.625
SET      10.815       91.250
SET      10.879       91.875
SET      11.007       92.500
SET      11.199       93.125
SET      11.583       93.750
SET      11.903       94.062
SET      12.287       94.375
SET      12.607       94.688
SET      12.863       95.000
SET      13.055       95.312
SET      13.183       95.625
SET      13.311       95.938
SET      13.439       96.250
SET      13.631       96.562
SET      13.951       96.875
SET      14.335       97.031
SET      14.783       97.188
SET      15.231       97.344
SET      15.679       97.500
SET      15.999       97.656
SET      16.191       97.812
SET      16.511       97.969
SET      16.767       98.125
SET      17.663       98.281
SET      18.943       98.438
SET      19.583       98.516
SET      20.351       98.594
SET      21.119       98.672
SET      22.143       98.750
SET      23.167       98.828
SET      24.447       98.906
SET      25.855       98.984
SET      27.647       99.062
SET      29.951       99.141
SET      32.639       99.219
SET      34.047       99.258
SET      35.327       99.297
SET      36.863       99.336
SET      38.143       99.375
SET      39.935       99.414
SET      41.727       99.453
SET      43.775       99.492
SET      46.079       99.531
SET      48.639       99.570
SET      51.199       99.609
SET      52.479       99.629
SET      53.759       99.648
SET      55.295       99.668
SET      56.575       99.688
SET      58.367       99.707
SET      60.159       99.727
SET      62.463       99.746
SET      65.279       99.766
SET      68.095       99.785
SET      71.167       99.805
SET      72.703       99.814
SET      74.239       99.824
SET      76.287       99.834
SET      78.335       99.844
SET      80.895       99.854
SET      82.943       99.863
SET      84.991       99.873
SET      87.039       99.883
SET      89.599       99.893
SET      93.183       99.902
SET      95.231       99.907
SET      98.303       99.912
SET     100.351       99.917
SET     103.423       99.922
SET     105.983       99.927
SET     109.567       99.932
SET     113.151       99.937
SET     118.271       99.941
SET     122.367       99.946
SET     130.047       99.951
SET     134.143       99.954
SET     138.239       99.956
SET     142.335       99.958
SET     147.455       99.961
SET     156.671       99.963
SET     167.935       99.966
SET     192.511       99.968
SET     264.191       99.971
SET    603979.750       99.973
SET    603979.750      100.000
---
GET       0.431        0.000
GET       6.047        5.000
GET       7.423       10.000
GET       8.031       15.000
GET       8.255       20.000
GET       8.319       25.000
GET       8.383       30.000
GET       8.447       35.000
GET       8.447       40.000
GET       8.511       45.000
GET       8.511       50.000
GET       8.575       52.500
GET       8.575       55.000
GET       8.575       57.500
GET       8.575       60.000
GET       8.639       62.500
GET       8.639       65.000
GET       8.703       67.500
GET       8.703       70.000
GET       8.767       72.500
GET       8.767       75.000
GET       8.831       76.250
GET       8.831       77.500
GET       8.895       78.750
GET       9.023       80.000
GET       9.215       81.250
GET       9.535       82.500
GET       9.791       83.750
GET       9.983       85.000
GET      10.175       86.250
GET      10.303       87.500
GET      10.431       88.125
GET      10.495       88.750
GET      10.559       89.375
GET      10.623       90.000
GET      10.687       90.625
GET      10.815       91.250
GET      10.879       91.875
GET      11.007       92.500
GET      11.199       93.125
GET      11.583       93.750
GET      11.903       94.062
GET      12.287       94.375
GET      12.607       94.688
GET      12.863       95.000
GET      13.055       95.312
GET      13.183       95.625
GET      13.311       95.938
GET      13.439       96.250
GET      13.631       96.562
GET      13.951       96.875
GET      14.335       97.031
GET      14.783       97.188
GET      15.231       97.344
GET      15.615       97.500
GET      15.999       97.656
GET      16.191       97.812
GET      16.383       97.969
GET      16.767       98.125
GET      17.663       98.281
GET      18.815       98.438
GET      19.583       98.516
GET      20.351       98.594
GET      21.119       98.672
GET      22.143       98.750
GET      23.295       98.828
GET      24.575       98.906
GET      25.983       98.984
GET      27.775       99.062
GET      30.079       99.141
GET      32.639       99.219
GET      34.047       99.258
GET      35.583       99.297
GET      36.863       99.336
GET      38.399       99.375
GET      39.935       99.414
GET      41.727       99.453
GET      44.031       99.492
GET      46.079       99.531
GET      48.639       99.570
GET      51.199       99.609
GET      52.479       99.629
GET      53.759       99.648
GET      55.295       99.668
GET      56.831       99.688
GET      58.367       99.707
GET      60.415       99.727
GET      62.719       99.746
GET      65.535       99.766
GET      68.095       99.785
GET      71.167       99.805
GET      72.703       99.814
GET      74.239       99.824
GET      76.287       99.834
GET      78.335       99.844
GET      80.895       99.854
GET      82.943       99.863
GET      84.991       99.873
GET      87.039       99.883
GET      89.599       99.893
GET      93.183       99.902
GET      95.231       99.907
GET      98.303       99.912
GET     100.863       99.917
GET     103.423       99.922
GET     105.983       99.927
GET     109.567       99.932
GET     113.151       99.937
GET     117.759       99.941
GET     122.367       99.946
GET     129.535       99.951
GET     134.143       99.954
GET     138.239       99.956
GET     142.335       99.958
GET     147.455       99.961
GET     155.647       99.963
GET     167.935       99.966
GET     194.559       99.968
GET     266.239       99.971
GET    603979.750       99.973
GET    603979.750      100.000
---
WAIT      0.000      100.000
=== end ===
=== 2025-11-09 05:22:26 — workload=redis env=docker run=6/7 ===
$ memtier_benchmark -s 192.168.1.149 -p 6379 --ratio=1:10 -t 4 -c 50 -d 64 -n 500000
4         Threads
50        Connections per thread
500000    Requests per client


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets         2150.43          ---          ---       179.75863         8.51100        26.87900        90.11100       232.86 
Gets        21504.07        99.63     21404.44       179.39189         8.51100        26.87900        90.62300       844.08 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals      23654.50        99.63     21404.44       179.42523         8.51100        26.87900        90.62300      1076.95 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.359        0.000
SET       6.111        5.000
SET       7.487       10.000
SET       8.031       15.000
SET       8.191       20.000
SET       8.319       25.000
SET       8.319       30.000
SET       8.383       35.000
SET       8.447       40.000
SET       8.447       45.000
SET       8.511       50.000
SET       8.511       52.500
SET       8.575       55.000
SET       8.575       57.500
SET       8.575       60.000
SET       8.575       62.500
SET       8.639       65.000
SET       8.639       67.500
SET       8.703       70.000
SET       8.703       72.500
SET       8.767       75.000
SET       8.831       76.250
SET       8.831       77.500
SET       8.959       78.750
SET       9.087       80.000
SET       9.407       81.250
SET       9.663       82.500
SET       9.919       83.750
SET      10.047       85.000
SET      10.239       86.250
SET      10.367       87.500
SET      10.495       88.125
SET      10.559       88.750
SET      10.623       89.375
SET      10.687       90.000
SET      10.815       90.625
SET      10.879       91.250
SET      11.007       91.875
SET      11.263       92.500
SET      11.775       93.125
SET      12.479       93.750
SET      12.735       94.062
SET      12.863       94.375
SET      12.991       94.688
SET      13.055       95.000
SET      13.183       95.312
SET      13.247       95.625
SET      13.375       95.938
SET      13.439       96.250
SET      13.631       96.562
SET      14.079       96.875
SET      14.527       97.031
SET      14.911       97.188
SET      15.295       97.344
SET      15.679       97.500
SET      15.935       97.656
SET      16.191       97.812
SET      16.383       97.969
SET      16.895       98.125
SET      17.791       98.281
SET      18.943       98.438
SET      19.711       98.516
SET      20.479       98.594
SET      21.503       98.672
SET      22.527       98.750
SET      23.679       98.828
SET      25.087       98.906
SET      26.495       98.984
SET      28.543       99.062
SET      30.975       99.141
SET      33.535       99.219
SET      34.815       99.258
SET      36.095       99.297
SET      37.375       99.336
SET      38.911       99.375
SET      40.447       99.414
SET      42.239       99.453
SET      44.287       99.492
SET      46.591       99.531
SET      49.151       99.570
SET      51.711       99.609
SET      52.991       99.629
SET      54.271       99.648
SET      55.551       99.668
SET      57.087       99.688
SET      58.623       99.707
SET      60.415       99.727
SET      62.207       99.746
SET      64.767       99.766
SET      67.583       99.785
SET      70.143       99.805
SET      71.167       99.814
SET      72.703       99.824
SET      74.239       99.834
SET      76.287       99.844
SET      78.847       99.854
SET      81.407       99.863
SET      83.455       99.873
SET      85.503       99.883
SET      88.063       99.893
SET      91.135       99.902
SET      93.183       99.907
SET      95.231       99.912
SET      98.303       99.917
SET     100.863       99.922
SET     103.935       99.927
SET     108.031       99.932
SET     111.615       99.937
SET     116.223       99.941
SET     120.831       99.946
SET     125.951       99.951
SET     129.023       99.954
SET     133.119       99.956
SET     136.191       99.958
SET     142.335       99.961
SET     149.503       99.963
SET     159.743       99.966
SET     187.391       99.968
SET     264.191       99.971
SET    603979.750       99.973
SET    603979.750      100.000
---
GET       0.375        0.000
GET       6.111        5.000
GET       7.487       10.000
GET       8.031       15.000
GET       8.191       20.000
GET       8.319       25.000
GET       8.319       30.000
GET       8.383       35.000
GET       8.447       40.000
GET       8.447       45.000
GET       8.511       50.000
GET       8.511       52.500
GET       8.511       55.000
GET       8.575       57.500
GET       8.575       60.000
GET       8.575       62.500
GET       8.639       65.000
GET       8.639       67.500
GET       8.703       70.000
GET       8.703       72.500
GET       8.767       75.000
GET       8.831       76.250
GET       8.831       77.500
GET       8.959       78.750
GET       9.087       80.000
GET       9.407       81.250
GET       9.663       82.500
GET       9.919       83.750
GET      10.047       85.000
GET      10.239       86.250
GET      10.367       87.500
GET      10.495       88.125
GET      10.559       88.750
GET      10.623       89.375
GET      10.687       90.000
GET      10.815       90.625
GET      10.879       91.250
GET      11.007       91.875
GET      11.263       92.500
GET      11.775       93.125
GET      12.479       93.750
GET      12.671       94.062
GET      12.863       94.375
GET      12.991       94.688
GET      13.055       95.000
GET      13.183       95.312
GET      13.247       95.625
GET      13.375       95.938
GET      13.439       96.250
GET      13.631       96.562
GET      14.079       96.875
GET      14.463       97.031
GET      14.847       97.188
GET      15.295       97.344
GET      15.679       97.500
GET      15.935       97.656
GET      16.127       97.812
GET      16.383       97.969
GET      16.767       98.125
GET      17.663       98.281
GET      18.943       98.438
GET      19.583       98.516
GET      20.479       98.594
GET      21.375       98.672
GET      22.399       98.750
GET      23.679       98.828
GET      25.087       98.906
GET      26.495       98.984
GET      28.543       99.062
GET      30.847       99.141
GET      33.535       99.219
GET      34.815       99.258
GET      36.095       99.297
GET      37.375       99.336
GET      38.911       99.375
GET      40.447       99.414
GET      42.239       99.453
GET      44.287       99.492
GET      46.335       99.531
GET      48.895       99.570
GET      51.455       99.609
GET      52.735       99.629
GET      54.015       99.648
GET      55.295       99.668
GET      57.087       99.688
GET      58.623       99.707
GET      60.415       99.727
GET      62.207       99.746
GET      64.767       99.766
GET      67.071       99.785
GET      69.631       99.805
GET      71.167       99.814
GET      72.703       99.824
GET      74.751       99.834
GET      76.799       99.844
GET      78.847       99.854
GET      81.407       99.863
GET      83.455       99.873
GET      85.503       99.883
GET      88.063       99.893
GET      91.647       99.902
GET      93.695       99.907
GET      95.743       99.912
GET      98.303       99.917
GET     100.863       99.922
GET     104.447       99.927
GET     108.031       99.932
GET     111.615       99.937
GET     116.223       99.941
GET     121.343       99.946
GET     125.951       99.951
GET     128.511       99.954
GET     133.119       99.956
GET     136.191       99.958
GET     142.335       99.961
GET     150.527       99.963
GET     159.743       99.966
GET     188.415       99.968
GET     264.191       99.971
GET    603979.750       99.973
GET    603979.750      100.000
---
WAIT      0.000      100.000
=== end ===
=== 2025-11-09 06:35:15 — workload=redis env=docker run=7/7 ===
$ memtier_benchmark -s 192.168.1.149 -p 6379 --ratio=1:10 -t 4 -c 50 -d 64 -n 500000
4         Threads
50        Connections per thread
500000    Requests per client


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets         2160.04          ---          ---       181.23468         8.51100        26.75100        96.76700       233.90 
Gets        21600.14       100.08     21500.06       178.83460         8.44700        26.62300        96.76700       847.85 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals      23760.18       100.08     21500.06       179.05279         8.44700        26.62300        96.76700      1081.76 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.415        0.000
SET       6.047        5.000
SET       7.327       10.000
SET       7.967       15.000
SET       8.159       20.000
SET       8.255       25.000
SET       8.319       30.000
SET       8.383       35.000
SET       8.383       40.000
SET       8.447       45.000
SET       8.511       50.000
SET       8.511       52.500
SET       8.511       55.000
SET       8.511       57.500
SET       8.575       60.000
SET       8.575       62.500
SET       8.575       65.000
SET       8.639       67.500
SET       8.639       70.000
SET       8.703       72.500
SET       8.767       75.000
SET       8.767       76.250
SET       8.831       77.500
SET       8.895       78.750
SET       9.087       80.000
SET       9.343       81.250
SET       9.599       82.500
SET       9.791       83.750
SET       9.983       85.000
SET      10.175       86.250
SET      10.303       87.500
SET      10.367       88.125
SET      10.495       88.750
SET      10.559       89.375
SET      10.623       90.000
SET      10.687       90.625
SET      10.815       91.250
SET      10.879       91.875
SET      11.071       92.500
SET      11.327       93.125
SET      11.967       93.750
SET      12.351       94.062
SET      12.671       94.375
SET      12.863       94.688
SET      12.991       95.000
SET      13.119       95.312
SET      13.183       95.625
SET      13.311       95.938
SET      13.439       96.250
SET      13.567       96.562
SET      14.015       96.875
SET      14.399       97.031
SET      14.783       97.188
SET      15.167       97.344
SET      15.551       97.500
SET      15.871       97.656
SET      16.127       97.812
SET      16.319       97.969
SET      16.767       98.125
SET      17.791       98.281
SET      18.943       98.438
SET      19.711       98.516
SET      20.479       98.594
SET      21.375       98.672
SET      22.399       98.750
SET      23.551       98.828
SET      24.959       98.906
SET      26.367       98.984
SET      28.287       99.062
SET      30.847       99.141
SET      33.791       99.219
SET      35.071       99.258
SET      36.351       99.297
SET      37.887       99.336
SET      39.679       99.375
SET      41.215       99.414
SET      43.263       99.453
SET      45.567       99.492
SET      47.871       99.531
SET      50.431       99.570
SET      52.735       99.609
SET      54.015       99.629
SET      55.551       99.648
SET      57.087       99.668
SET      58.879       99.688
SET      60.671       99.707
SET      62.975       99.727
SET      65.535       99.746
SET      68.095       99.766
SET      70.655       99.785
SET      73.727       99.805
SET      75.263       99.814
SET      77.311       99.824
SET      79.359       99.834
SET      81.407       99.844
SET      82.943       99.854
SET      84.479       99.863
SET      87.039       99.873
SET      89.599       99.883
SET      93.695       99.893
SET      97.791       99.902
SET     100.351       99.907
SET     102.911       99.912
SET     105.471       99.917
SET     108.031       99.922
SET     111.103       99.927
SET     114.175       99.932
SET     117.759       99.937
SET     122.367       99.941
SET     126.975       99.946
SET     133.119       99.951
SET     136.191       99.954
SET     139.263       99.956
SET     142.335       99.958
SET     149.503       99.961
SET     154.623       99.963
SET     174.079       99.966
SET     227.327       99.968
SET     378.879       99.971
SET    603979.750       99.973
SET    603979.750      100.000
---
GET       0.367        0.000
GET       6.015        5.000
GET       7.295       10.000
GET       7.967       15.000
GET       8.159       20.000
GET       8.255       25.000
GET       8.319       30.000
GET       8.383       35.000
GET       8.383       40.000
GET       8.447       45.000
GET       8.447       50.000
GET       8.511       52.500
GET       8.511       55.000
GET       8.511       57.500
GET       8.575       60.000
GET       8.575       62.500
GET       8.575       65.000
GET       8.639       67.500
GET       8.639       70.000
GET       8.703       72.500
GET       8.767       75.000
GET       8.767       76.250
GET       8.831       77.500
GET       8.895       78.750
GET       9.087       80.000
GET       9.343       81.250
GET       9.599       82.500
GET       9.791       83.750
GET       9.983       85.000
GET      10.175       86.250
GET      10.303       87.500
GET      10.367       88.125
GET      10.495       88.750
GET      10.559       89.375
GET      10.623       90.000
GET      10.687       90.625
GET      10.815       91.250
GET      10.879       91.875
GET      11.007       92.500
GET      11.327       93.125
GET      11.967       93.750
GET      12.351       94.062
GET      12.671       94.375
GET      12.863       94.688
GET      12.991       95.000
GET      13.119       95.312
GET      13.183       95.625
GET      13.311       95.938
GET      13.439       96.250
GET      13.567       96.562
GET      14.015       96.875
GET      14.335       97.031
GET      14.719       97.188
GET      15.167       97.344
GET      15.551       97.500
GET      15.871       97.656
GET      16.063       97.812
GET      16.319       97.969
GET      16.767       98.125
GET      17.791       98.281
GET      18.943       98.438
GET      19.583       98.516
GET      20.351       98.594
GET      21.247       98.672
GET      22.271       98.750
GET      23.551       98.828
GET      24.831       98.906
GET      26.239       98.984
GET      28.159       99.062
GET      30.719       99.141
GET      33.535       99.219
GET      34.815       99.258
GET      36.351       99.297
GET      37.887       99.336
GET      39.423       99.375
GET      41.215       99.414
GET      43.263       99.453
GET      45.311       99.492
GET      47.871       99.531
GET      50.175       99.570
GET      52.735       99.609
GET      54.015       99.629
GET      55.295       99.648
GET      56.831       99.668
GET      58.623       99.688
GET      60.671       99.707
GET      62.719       99.727
GET      65.279       99.746
GET      68.095       99.766
GET      70.655       99.785
GET      73.727       99.805
GET      75.263       99.814
GET      76.799       99.824
GET      78.847       99.834
GET      80.895       99.844
GET      82.943       99.854
GET      84.479       99.863
GET      86.527       99.873
GET      89.599       99.883
GET      93.183       99.893
GET      97.791       99.902
GET     100.351       99.907
GET     102.911       99.912
GET     105.471       99.917
GET     108.543       99.922
GET     111.103       99.927
GET     114.687       99.932
GET     118.271       99.937
GET     122.367       99.941
GET     127.487       99.946
GET     133.119       99.951
GET     137.215       99.954
GET     140.287       99.956
GET     143.359       99.958
GET     149.503       99.961
GET     154.623       99.963
GET     167.935       99.966
GET     218.111       99.968
GET     311.295       99.971
GET    603979.750       99.973
GET    603979.750      100.000
---
WAIT      0.000      100.000
=== end ===
