=== 2025-11-15 13:11:27 — workload=redis env=bare run=1/7 ===
$ memtier_benchmark -s 192.168.1.60 -p 6379 --ratio=1:10 -t 4 -c 50 -d 64 -n 500000
4         Threads
50        Connections per thread
500000    Requests per client


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets         1783.97          ---          ---       207.95966        10.68700        21.50300        62.20700       193.18 
Gets        17839.54        41.85     17797.68       218.70156        10.68700        21.50300        62.46300       697.61 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals      19623.51        41.85     17797.68       217.72501        10.68700        21.50300        62.46300       890.79 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.583        0.000
SET       8.447        5.000
SET       9.215       10.000
SET       9.535       15.000
SET       9.855       20.000
SET      10.111       25.000
SET      10.303       30.000
SET      10.431       35.000
SET      10.559       40.000
SET      10.623       45.000
SET      10.687       50.000
SET      10.751       52.500
SET      10.751       55.000
SET      10.815       57.500
SET      10.815       60.000
SET      10.879       62.500
SET      10.879       65.000
SET      10.943       67.500
SET      10.943       70.000
SET      11.007       72.500
SET      11.071       75.000
SET      11.071       76.250
SET      11.135       77.500
SET      11.135       78.750
SET      11.199       80.000
SET      11.327       81.250
SET      11.455       82.500
SET      11.711       83.750
SET      12.095       85.000
SET      12.543       86.250
SET      12.927       87.500
SET      13.183       88.125
SET      13.375       88.750
SET      13.567       89.375
SET      13.695       90.000
SET      13.823       90.625
SET      13.951       91.250
SET      14.079       91.875
SET      14.143       92.500
SET      14.271       93.125
SET      14.335       93.750
SET      14.399       94.062
SET      14.463       94.375
SET      14.527       94.688
SET      14.591       95.000
SET      14.655       95.312
SET      14.783       95.625
SET      14.911       95.938
SET      15.167       96.250
SET      15.679       96.562
SET      16.511       96.875
SET      17.023       97.031
SET      17.407       97.188
SET      17.791       97.344
SET      18.175       97.500
SET      18.687       97.656
SET      19.071       97.812
SET      19.327       97.969
SET      19.583       98.125
SET      19.967       98.281
SET      20.351       98.438
SET      20.607       98.516
SET      20.735       98.594
SET      20.863       98.672
SET      20.991       98.750
SET      21.119       98.828
SET      21.247       98.906
SET      21.503       98.984
SET      21.759       99.062
SET      22.527       99.141
SET      23.551       99.219
SET      24.191       99.258
SET      24.831       99.297
SET      25.599       99.336
SET      26.367       99.375
SET      27.263       99.414
SET      28.159       99.453
SET      29.567       99.492
SET      31.231       99.531
SET      33.023       99.570
SET      34.815       99.609
SET      35.583       99.629
SET      36.607       99.648
SET      37.631       99.668
SET      38.911       99.688
SET      39.935       99.707
SET      41.471       99.727
SET      43.007       99.746
SET      44.799       99.766
SET      46.591       99.785
SET      48.639       99.805
SET      49.663       99.814
SET      50.687       99.824
SET      51.711       99.834
SET      52.991       99.844
SET      54.271       99.854
SET      55.551       99.863
SET      56.831       99.873
SET      58.367       99.883
SET      60.415       99.893
SET      62.719       99.902
SET      64.255       99.907
SET      65.535       99.912
SET      67.071       99.917
SET      68.607       99.922
SET      70.143       99.927
SET      72.191       99.932
SET      74.751       99.937
SET      76.799       99.941
SET      79.359       99.946
SET      81.919       99.951
SET      83.967       99.954
SET      86.015       99.956
SET      87.551       99.958
SET      90.111       99.961
SET      93.183       99.963
SET     100.863       99.966
SET    603979.750       99.968
SET    603979.750      100.000
---
GET       0.575        0.000
GET       8.447        5.000
GET       9.215       10.000
GET       9.535       15.000
GET       9.855       20.000
GET      10.111       25.000
GET      10.303       30.000
GET      10.431       35.000
GET      10.559       40.000
GET      10.623       45.000
GET      10.687       50.000
GET      10.751       52.500
GET      10.751       55.000
GET      10.815       57.500
GET      10.815       60.000
GET      10.879       62.500
GET      10.879       65.000
GET      10.943       67.500
GET      10.943       70.000
GET      11.007       72.500
GET      11.071       75.000
GET      11.071       76.250
GET      11.135       77.500
GET      11.135       78.750
GET      11.199       80.000
GET      11.263       81.250
GET      11.455       82.500
GET      11.711       83.750
GET      12.095       85.000
GET      12.479       86.250
GET      12.927       87.500
