=== 2025-11-15 13:11:27 — workload=redis env=bare run=1/7 ===
$ memtier_benchmark -s 192.168.1.60 -p 6379 --ratio=1:10 -t 4 -c 50 -d 64 -n 500000
4         Threads
50        Connections per thread
500000    Requests per client


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets         1783.97          ---          ---       207.95966        10.68700        21.50300        62.20700       193.18 
Gets        17839.54        41.85     17797.68       218.70156        10.68700        21.50300        62.46300       697.61 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals      19623.51        41.85     17797.68       217.72501        10.68700        21.50300        62.46300       890.79 


Request Latency Distribution
Type     <= msec         Percent
GET      83.455       99.946
GET      86.015       99.951
GET      87.551       99.954
GET      89.599       99.956
GET      91.647       99.958
GET      95.231       99.961
GET     135.167       99.963
GET    603979.750       99.966
GET    603979.750      100.000
---
WAIT      0.000      100.000
=== end ===
=== 2025-11-15 19:04:39 — workload=redis env=bare run=5/7 ===
$ memtier_benchmark -s 192.168.1.60 -p 6379 --ratio=1:10 -t 4 -c 50 -d 64 -n 500000
4         Threads
50        Connections per thread
500000    Requests per client


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets         1741.84          ---          ---       222.65292        10.87900        21.63100        65.27900       188.62 
Gets        17418.25        80.70     17337.55       222.86914        10.87900        21.63100        65.02300       683.71 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals      19160.10        80.70     17337.55       222.84948        10.87900        21.63100        65.02300       872.32 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.527        0.000
SET       9.215        5.000
SET       9.983       10.000
SET      10.303       15.000
SET      10.431       20.000
SET      10.559       25.000
SET      10.623       30.000
SET      10.687       35.000
SET      10.751       40.000
SET      10.815       45.000
SET      10.879       50.000
SET      10.879       52.500
SET      10.943       55.000
SET      10.943       57.500
SET      10.943       60.000
SET      11.007       62.500
SET      11.007       65.000
SET      11.071       67.500
SET      11.071       70.000
SET      11.135       72.500
SET      11.199       75.000
SET      11.199       76.250
SET      11.263       77.500
SET      11.327       78.750
SET      11.391       80.000
SET      11.583       81.250
SET      11.967       82.500
SET      12.351       83.750
SET      12.671       85.000
SET      13.183       86.250
SET      13.631       87.500
SET      13.823       88.125
SET      13.887       88.750
SET      13.951       89.375
SET      14.079       90.000
SET      14.143       90.625
SET      14.207       91.250
SET      14.271       91.875
SET      14.335       92.500
SET      14.399       93.125
SET      14.527       93.750
SET      14.527       94.062
SET      14.591       94.375
SET      14.655       94.688
SET      14.719       95.000
SET      14.783       95.312
SET      14.847       95.625
SET      14.911       95.938
SET      15.039       96.250
SET      15.295       96.562
SET      15.807       96.875
SET      16.191       97.031
SET      16.511       97.188
SET      16.895       97.344
SET      17.279       97.500
SET      17.663       97.656
SET      18.175       97.812
SET      18.815       97.969
SET      19.711       98.125
SET      20.351       98.281
SET      20.735       98.438
SET      20.863       98.516
SET      20.991       98.594
SET      21.119       98.672
SET      21.247       98.750
SET      21.247       98.828
SET      21.375       98.906
SET      21.631       98.984
SET      21.887       99.062
SET      22.655       99.141
SET      23.935       99.219
SET      24.575       99.258
SET      25.215       99.297
SET      26.111       99.336
SET      27.007       99.375
SET      27.775       99.414
SET      28.799       99.453
SET      30.335       99.492
SET      31.999       99.531
SET      33.791       99.570
SET      35.839       99.609
SET      36.863       99.629
SET      38.143       99.648
SET      39.423       99.668
SET      40.703       99.688
SET      42.239       99.707
SET      43.775       99.727
SET      45.311       99.746
SET      47.103       99.766
SET      49.151       99.785
SET      50.943       99.805
SET      51.967       99.814
SET      52.991       99.824
SET      54.271       99.834
SET      55.295       99.844
SET      56.575       99.854
SET      58.111       99.863
SET      59.903       99.873
SET      61.439       99.883
SET      63.487       99.893
SET      66.047       99.902
SET      67.071       99.907
SET      68.095       99.912
SET      69.631       99.917
SET      71.167       99.922
SET      72.703       99.927
SET      74.239       99.932
SET      76.287       99.937
SET      78.335       99.941
SET      81.407       99.946
SET      84.991       99.951
SET      86.527       99.954
SET      88.063       99.956
SET      90.623       99.958
SET      93.183       99.961
SET      97.791       99.963
SET    603979.750       99.966
SET    603979.750      100.000
---
GET       0.487        0.000
GET       9.215        5.000
GET       9.983       10.000
GET      10.303       15.000
GET      10.431       20.000
GET      10.559       25.000
GET      10.623       30.000
GET      10.687       35.000
GET      10.751       40.000
GET      10.815       45.000
GET      10.879       50.000
GET      10.879       52.500
GET      10.879       55.000
GET      10.943       57.500
GET      10.943       60.000
GET      11.007       62.500
GET      11.007       65.000
GET      11.071       67.500
GET      11.071       70.000
GET      11.135       72.500
GET      11.199       75.000
GET      11.199       76.250
GET      11.263       77.500
GET      11.327       78.750
GET      11.391       80.000
GET      11.583       81.250
GET      11.967       82.500
GET      12.351       83.750
GET      12.671       85.000
GET      13.183       86.250
GET      13.631       87.500
GET      13.759       88.125
GET      13.887       88.750
GET      13.951       89.375
GET      14.079       90.000
GET      14.143       90.625
GET      14.207       91.250
GET      14.271       91.875
GET      14.335       92.500
GET      14.399       93.125
GET      14.527       93.750
GET      14.527       94.062
GET      14.591       94.375
GET      14.655       94.688
GET      14.719       95.000
GET      14.783       95.312
GET      14.847       95.625
GET      14.911       95.938
GET      15.039       96.250
GET      15.295       96.562
GET      15.807       96.875
GET      16.127       97.031
GET      16.511       97.188
GET      16.895       97.344
GET      17.279       97.500
GET      17.663       97.656
GET      18.175       97.812
GET      18.815       97.969
GET      19.711       98.125
GET      20.351       98.281
GET      20.735       98.438
GET      20.863       98.516
GET      20.991       98.594
GET      21.119       98.672
GET      21.119       98.750
GET      21.247       98.828
GET      21.375       98.906
GET      21.631       98.984
GET      21.887       99.062
GET      22.655       99.141
GET      23.935       99.219
GET      24.447       99.258
GET      25.087       99.297
GET      25.983       99.336
GET      27.007       99.375
GET      27.647       99.414
GET      28.671       99.453
GET      30.207       99.492
GET      31.999       99.531
GET      33.791       99.570
GET      35.839       99.609
GET      36.863       99.629
GET      37.887       99.648
GET      39.167       99.668
GET      40.447       99.688
GET      41.983       99.707
GET      43.519       99.727
GET      45.311       99.746
GET      47.103       99.766
GET      48.895       99.785
GET      50.943       99.805
GET      51.711       99.814
GET      52.991       99.824
GET      54.015       99.834
GET      55.295       99.844
GET      56.575       99.854
GET      58.111       99.863
GET      59.903       99.873
GET      61.439       99.883
GET      63.487       99.893
GET      66.047       99.902
GET      67.071       99.907
GET      68.095       99.912
GET      69.631       99.917
GET      71.167       99.922
GET      72.703       99.927
GET      74.239       99.932
GET      76.287       99.937
GET      78.847       99.941
GET      81.407       99.946
GET      84.991       99.951
GET      86.527       99.954
GET      88.063       99.956
GET      90.111       99.958
GET      93.183       99.961
GET      97.791       99.963
GET    603979.750       99.966
GET    603979.750      100.000
---
WAIT      0.000      100.000
=== end ===
=== 2025-11-15 20:33:32 — workload=redis env=bare run=6/7 ===
$ memtier_benchmark -s 192.168.1.60 -p 6379 --ratio=1:10 -t 4 -c 50 -d 64 -n 500000
4         Threads
50        Connections per thread
500000    Requests per client


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets         1717.33          ---          ---       222.53976        10.87900        21.63100        64.76700       185.96 
Gets        17173.07        79.57     17093.51       227.06652        10.87900        21.63100        64.76700       674.08 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals      18890.40        79.57     17093.51       226.65499        10.87900        21.63100        64.76700       860.05 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.591        0.000
SET       9.279        5.000
SET      10.047       10.000
SET      10.367       15.000
SET      10.495       20.000
SET      10.559       25.000
SET      10.687       30.000
SET      10.751       35.000
SET      10.751       40.000
SET      10.815       45.000
SET      10.879       50.000
SET      10.943       52.500
SET      10.943       55.000
SET      10.943       57.500
SET      11.007       60.000
SET      11.007       62.500
SET      11.071       65.000
SET      11.135       67.500
SET      11.135       70.000
SET      11.199       72.500
SET      11.327       75.000
SET      11.455       76.250
SET      11.711       77.500
SET      12.095       78.750
SET      12.415       80.000
SET      12.735       81.250
SET      13.183       82.500
SET      13.631       83.750
SET      13.823       85.000
SET      13.951       86.250
SET      14.015       87.500
SET      14.079       88.125
SET      14.143       88.750
SET      14.207       89.375
SET      14.271       90.000
SET      14.271       90.625
SET      14.335       91.250
SET      14.399       91.875
SET      14.463       92.500
SET      14.527       93.125
SET      14.655       93.750
SET      14.655       94.062
SET      14.719       94.375
SET      14.783       94.688
SET      14.847       95.000
SET      14.911       95.312
SET      15.039       95.625
SET      15.231       95.938
SET      15.551       96.250
SET      16.127       96.562
SET      16.767       96.875
SET      16.895       97.031
SET      17.151       97.188
SET      17.407       97.344
SET      17.535       97.500
SET      17.919       97.656
SET      18.303       97.812
SET      18.943       97.969
SET      19.839       98.125
SET      20.351       98.281
SET      20.735       98.438
SET      20.863       98.516
SET      20.991       98.594
SET      21.119       98.672
SET      21.119       98.750
SET      21.247       98.828
SET      21.503       98.906
SET      21.631       98.984
SET      22.015       99.062
SET      23.039       99.141
SET      24.191       99.219
SET      24.831       99.258
SET      25.471       99.297
SET      26.367       99.336
SET      27.007       99.375
SET      27.647       99.414
SET      28.159       99.453
SET      29.311       99.492
SET      30.719       99.531
SET      32.511       99.570
SET      34.303       99.609
SET      35.071       99.629
SET      36.095       99.648
SET      37.375       99.668
SET      38.655       99.688
SET      39.935       99.707
SET      41.471       99.727
SET      43.263       99.746
SET      45.311       99.766
SET      47.359       99.785
SET      49.407       99.805
SET      50.431       99.814
SET      51.711       99.824
SET      52.735       99.834
SET      54.015       99.844
SET      55.295       99.854
SET      56.831       99.863
SET      58.623       99.873
SET      60.671       99.883
SET      62.975       99.893
SET      65.279       99.902
SET      66.559       99.907
SET      68.095       99.912
SET      69.119       99.917
SET      70.655       99.922
SET      72.191       99.927
SET      74.239       99.932
SET      76.287       99.937
SET      78.335       99.941
SET      81.919       99.946
SET      84.991       99.951
SET      87.039       99.954
SET      89.599       99.956
SET      91.135       99.958
SET      93.695       99.961
SET      98.815       99.963
SET    603979.750       99.966
SET    603979.750      100.000
---
GET       0.535        0.000
GET       9.279        5.000
GET      10.047       10.000
GET      10.367       15.000
GET      10.495       20.000
GET      10.559       25.000
GET      10.687       30.000
GET      10.751       35.000
GET      10.751       40.000
GET      10.815       45.000
GET      10.879       50.000
GET      10.879       52.500
GET      10.943       55.000
GET      10.943       57.500
GET      11.007       60.000
GET      11.007       62.500
GET      11.071       65.000
GET      11.071       67.500
GET      11.135       70.000
GET      11.199       72.500
GET      11.327       75.000
GET      11.455       76.250
GET      11.711       77.500
GET      12.095       78.750
GET      12.415       80.000
GET      12.735       81.250
GET      13.183       82.500
GET      13.631       83.750
GET      13.759       85.000
GET      13.951       86.250
GET      14.015       87.500
GET      14.079       88.125
GET      14.143       88.750
GET      14.207       89.375
GET      14.207       90.000
GET      14.271       90.625
GET      14.335       91.250
GET      14.399       91.875
GET      14.463       92.500
GET      14.527       93.125
GET      14.655       93.750
GET      14.655       94.062
GET      14.719       94.375
GET      14.783       94.688
GET      14.847       95.000
GET      14.911       95.312
GET      15.039       95.625
GET      15.167       95.938
GET      15.551       96.250
GET      16.127       96.562
GET      16.767       96.875
GET      16.895       97.031
GET      17.151       97.188
GET      17.407       97.344
GET      17.535       97.500
GET      17.919       97.656
GET      18.303       97.812
GET      18.943       97.969
GET      19.711       98.125
GET      20.351       98.281
GET      20.735       98.438
GET      20.863       98.516
GET      20.991       98.594
GET      21.119       98.672
GET      21.119       98.750
GET      21.247       98.828
GET      21.375       98.906
GET      21.631       98.984
GET      22.015       99.062
GET      23.039       99.141
GET      24.191       99.219
GET      24.703       99.258
GET      25.471       99.297
GET      26.239       99.336
GET      27.007       99.375
GET      27.519       99.414
GET      28.159       99.453
GET      29.183       99.492
GET      30.719       99.531
GET      32.383       99.570
GET      34.047       99.609
GET      35.071       99.629
GET      36.095       99.648
GET      37.375       99.668
GET      38.655       99.688
GET      39.935       99.707
GET      41.471       99.727
GET      43.263       99.746
GET      45.055       99.766
GET      47.359       99.785
GET      49.407       99.805
GET      50.431       99.814
GET      51.711       99.824
GET      52.735       99.834
GET      54.015       99.844
GET      55.551       99.854
GET      57.087       99.863
GET      58.623       99.873
GET      60.927       99.883
GET      63.231       99.893
GET      65.535       99.902
GET      67.071       99.907
GET      68.095       99.912
GET      69.631       99.917
GET      71.167       99.922
GET      72.703       99.927
GET      74.239       99.932
GET      76.287       99.937
GET      78.847       99.941
GET      81.919       99.946
GET      86.015       99.951
GET      88.063       99.954
GET      90.111       99.956
GET      92.159       99.958
GET      95.231       99.961
GET     103.423       99.963
GET    603979.750       99.966
GET    603979.750      100.000
---
WAIT      0.000      100.000
=== end ===
=== 2025-11-15 22:03:43 — workload=redis env=bare run=7/7 ===
$ memtier_benchmark -s 192.168.1.60 -p 6379 --ratio=1:10 -t 4 -c 50 -d 64 -n 500000
4         Threads
50        Connections per thread
500000    Requests per client


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets         1746.16          ---          ---       219.94445        10.81500        21.37500        63.99900       189.09 
Gets        17461.38        80.90     17380.47       223.04169        10.81500        21.37500        64.25500       685.40 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals      19207.53        80.90     17380.47       222.76012        10.81500        21.37500        64.25500       874.48 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.607        0.000
SET       9.279        5.000
SET       9.983       10.000
SET      10.303       15.000
SET      10.431       20.000
SET      10.559       25.000
SET      10.623       30.000
SET      10.687       35.000
SET      10.751       40.000
SET      10.815       45.000
SET      10.815       50.000
SET      10.879       52.500
SET      10.879       55.000
SET      10.879       57.500
SET      10.943       60.000
SET      10.943       62.500
SET      11.007       65.000
SET      11.007       67.500
SET      11.071       70.000
SET      11.071       72.500
SET      11.135       75.000
SET      11.199       76.250
SET      11.199       77.500
SET      11.263       78.750
SET      11.327       80.000
SET      11.519       81.250
SET      11.839       82.500
SET      12.159       83.750
SET      12.415       85.000
SET      12.735       86.250
SET      13.247       87.500
SET      13.503       88.125
SET      13.695       88.750
SET      13.823       89.375
SET      13.887       90.000
SET      14.015       90.625
SET      14.079       91.250
SET      14.143       91.875
SET      14.271       92.500
SET      14.335       93.125
SET      14.399       93.750
SET      14.463       94.062
SET      14.527       94.375
SET      14.591       94.688
SET      14.591       95.000
SET      14.655       95.312
SET      14.719       95.625
SET      14.847       95.938
SET      14.911       96.250
SET      15.039       96.562
SET      15.359       96.875
SET      15.615       97.031
SET      15.999       97.188
SET      16.319       97.344
SET      16.767       97.500
SET      17.151       97.656
SET      17.663       97.812
SET      18.175       97.969
SET      19.071       98.125
SET      19.967       98.281
SET      20.479       98.438
SET      20.607       98.516
SET      20.735       98.594
SET      20.863       98.672
SET      20.991       98.750
SET      21.119       98.828
SET      21.247       98.906
SET      21.375       98.984
SET      21.631       99.062
SET      21.887       99.141
SET      22.911       99.219
SET      23.551       99.258
SET      24.191       99.297
SET      24.703       99.336
SET      25.599       99.375
SET      26.495       99.414
SET      27.519       99.453
SET      28.671       99.492
SET      30.463       99.531
SET      32.383       99.570
SET      34.559       99.609
SET      35.583       99.629
SET      36.607       99.648
SET      37.887       99.668
SET      39.167       99.688
SET      40.703       99.707
SET      42.239       99.727
SET      43.775       99.746
SET      45.311       99.766
SET      47.359       99.785
SET      49.407       99.805
SET      50.431       99.814
SET      51.711       99.824
SET      52.991       99.834
SET      54.015       99.844
SET      55.295       99.854
SET      56.831       99.863
SET      58.367       99.873
SET      60.159       99.883
SET      62.463       99.893
SET      64.767       99.902
SET      66.047       99.907
SET      67.583       99.912
SET      68.607       99.917
SET      70.143       99.922
SET      71.679       99.927
SET      73.215       99.932
SET      76.287       99.937
SET      78.335       99.941
SET      81.407       99.946
SET      84.479       99.951
SET      86.015       99.954
SET      87.551       99.956
SET      89.599       99.958
SET      91.647       99.961
SET      95.231       99.963
SET    603979.750       99.966
SET    603979.750      100.000
---
GET       0.463        0.000
GET       9.279        5.000
GET       9.983       10.000
GET      10.303       15.000
GET      10.431       20.000
GET      10.559       25.000
GET      10.623       30.000
GET      10.687       35.000
GET      10.751       40.000
GET      10.751       45.000
GET      10.815       50.000
GET      10.879       52.500
GET      10.879       55.000
GET      10.879       57.500
GET      10.943       60.000
GET      10.943       62.500
GET      11.007       65.000
GET      11.007       67.500
GET      11.071       70.000
GET      11.071       72.500
GET      11.135       75.000
GET      11.199       76.250
GET      11.199       77.500
GET      11.263       78.750
GET      11.327       80.000
GET      11.519       81.250
GET      11.839       82.500
GET      12.159       83.750
GET      12.415       85.000
GET      12.735       86.250
GET      13.183       87.500
GET      13.503       88.125
GET      13.695       88.750
GET      13.823       89.375
GET      13.887       90.000
GET      14.015       90.625
GET      14.079       91.250
GET      14.143       91.875
GET      14.207       92.500
GET      14.335       93.125
GET      14.399       93.750
GET      14.463       94.062
GET      14.527       94.375
GET      14.591       94.688
GET      14.591       95.000
GET      14.655       95.312
GET      14.719       95.625
GET      14.847       95.938
GET      14.911       96.250
GET      15.039       96.562
GET      15.295       96.875
GET      15.615       97.031
GET      15.935       97.188
GET      16.319       97.344
GET      16.767       97.500
GET      17.151       97.656
GET      17.663       97.812
GET      18.175       97.969
GET      19.071       98.125
GET      19.967       98.281
GET      20.479       98.438
GET      20.607       98.516
GET      20.735       98.594
GET      20.863       98.672
GET      20.991       98.750
GET      21.119       98.828
GET      21.247       98.906
GET      21.375       98.984
GET      21.503       99.062
GET      21.887       99.141
GET      22.911       99.219
GET      23.551       99.258
GET      24.191       99.297
GET      24.831       99.336
GET      25.599       99.375
GET      26.623       99.414
GET      27.519       99.453
GET      28.799       99.492
GET      30.591       99.531
GET      32.511       99.570
GET      34.559       99.609
GET      35.583       99.629
GET      36.607       99.648
GET      37.887       99.668
GET      39.423       99.688
GET      40.703       99.707
GET      42.239       99.727
GET      43.775       99.746
GET      45.567       99.766
GET      47.359       99.785
GET      49.407       99.805
GET      50.687       99.814
GET      51.711       99.824
GET      52.991       99.834
GET      54.271       99.844
GET      55.551       99.854
GET      56.831       99.863
GET      58.623       99.873
GET      60.415       99.883
GET      62.719       99.893
GET      65.023       99.902
GET      66.559       99.907
GET      67.583       99.912
GET      69.119       99.917
GET      70.655       99.922
GET      71.679       99.927
GET      73.727       99.932
GET      75.775       99.937
GET      78.335       99.941
GET      81.919       99.946
GET      84.479       99.951
GET      86.015       99.954
GET      87.551       99.956
GET      89.599       99.958
GET      92.159       99.961
GET      96.767       99.963
GET    603979.750       99.966
GET    603979.750      100.000
---
WAIT      0.000      100.000
=== end ===
